identifier,typ,redshift,Mag U,Mag B,Mag V,Mag R,Mag I,bib,note,MorphType,RA,Dec,Ang_maj_amin,Ang_min_amin,ang_diam_dist,EstDist_Mpc,length_maj,velocity_km_s,RA_deg,Dec_deg
UGC 836                            ,G  ,0.038417,~,16,~,~,~,8,0,E,18:59.4,+44:17:11.036445854,0.463,0.417,162.2609783,152.5252759,71276.61615,11193.05789,19.74758788,44.28639901
UGC 2328                           ,G  ,0.016642,~,13.8,~,~,~,17,0,E,50:59.7,+37:27:59.855205906,0.757,0.636,72.16541374,93.28824669,51829.49506,4926.676765,42.74861994,37.46662645
2MASX J02464352+3648314            ,G  ,0.04373,~,~,~,~,~,3,0,E,46:43.5,+36:48:31.461754537,0.213,0.183,183.5293329,331.5455528,37088.31321,12692.73287,41.68125045,36.80873938
UGC 746                            ,G  ,0.018066,~,14.8,~,~,~,10,0,E,11:36.0,+49:07:15.985062828,0.913,0.566,78.20469302,77.34852436,67741.62113,5342.56357,17.89988844,49.12110696
UGC 1562                           ,G  ,0.02511,~,15,~,~,~,3,0,E,04:22.3,+45:46:34,1.548,0.831,107.7716202,45.61964002,158280.4808,7387.058372,31.09291667,45.77611111
UGC 1493 A                         ,G  ,0.01626,~,14.4,~,~,~,19,1,E,01:09.5,+50:30:25.664529096,0.557,0.512,70.54174392,126.7849241,37278.06657,4814.962601,30.28941379,50.50712904
NGC 6702                           ,G  ,0.015998,15.3,14.73,13.05,~,~,133,0,E,46:57.6,+45:42:20.301418496,1.133,0.861,69.42724961,62.32939342,74629.72874,4738.305351,281.7399254,45.70563928
2MASX J18471752+4750143            ,G  ,0.04763,~,16.4,~,~,~,7,0,E,47:17.5,+47:50:14.32,0.193,0.139,198.9680402,365.9026049,36432.80619,13786.53161,281.8230292,47.83731111
MCG+10-27-001                      ,G  ,0.0135,~,16.3,~,~,~,13,0,E,45:32.2,+59:58:52.12,0.687,0.261,58.76529263,102.7935993,38302.72149,4005.929162,281.3842167,59.98114444
2MASX J18533649+6613555            ,G  ,0.03787,~,15.3,~,~,~,27,1,E,53:36.5,+66:13:55.54,0.43,0.344,160.0556939,164.2307041,65296.75163,11038.02355,283.4020708,66.23209444
UGC 11436                          ,G  ,0.03861,~,15.5,~,~,~,14,0,E,23:20.1,+70:21:21.734798573,0.617,0.37,163.0383784,114.4557581,95439.24686,11247.73074,290.8335529,70.35603744
MCG+10-26-039                      ,G  ,0.02789,~,16,~,~,~,11,0,E,27:33.9,+62:06:59.544678555,0.46,0.423,119.3014192,153.520006,52066.14627,8188.189977,276.8912114,62.11654019
UGC 1198                           ,G  ,0.003933,~,15.1,~,~,~,32,0,E,49:18.0,+85:15:37.212435385,0.523,0.345,17.3220131,135.0271563,8595.121968,1175.538777,27.32508565,85.26033679
UGC 3307                           ,G  ,0.01416,~,14.8,~,~,~,11,0,E,27:57.4,+63:51:34.084122773,0.687,0.494,61.58864561,102.7935993,40142.95912,4199.695729,81.98899313,63.85946781
MCG+10-26-014                      ,G  ,0.0279,~,16.5,~,~,~,9,0,E,06:17.1,+62:05:18.270863584,0.45,0.27,119.3427525,156.9315617,50951.92025,8191.06594,271.5711705,62.08840857
2MASX J18081469+6340477            ,G  ,0.02022,~,15.3,~,~,~,9,0,E,08:14.7,+63:40:47.73,0.453,0.19,87.30008218,155.8922798,37520.17428,5969.994213,272.0612167,63.679925
LEDA 61489                         ,G  ,0.069,~,16.6,~,16.28,~,12,0,E,10:34.9,+66:11:19,0.31,0.19,281.0317665,227.8038798,82654.99416,19678.15148,272.6454167,66.18861111
2MASX J18053123+6644499            ,G  ,0.0551,~,16.5,~,~,~,11,0,E,05:31.2,+66:44:49.95,0.207,0.165,228.1357195,341.1555688,44803.88012,15865.28586,271.380125,66.74720833
2MASX J18051497+6820020            ,G  ,0.02754,~,15.2,~,~,~,9,0,E,05:15.0,+68:20:02.07,0.41,0.205,117.8541206,172.2419579,45843.8012,8087.505131,271.3124083,68.33390833
NGC 6598                           ,G  ,0.02771,~,14.2,~,~,~,18,0,E,08:56.0,+69:04:04.668602498,0.79,0.6,118.5572483,89.39139588,88860.18122,8136.415548,272.2334078,69.0679635
2MASX J18054253+6956110            ,G  ,0.0503,~,16.5,~,~,~,6,0,E,05:42.5,+69:56:11.07,0.247,0.168,209.4539354,285.9077034,49083.72003,14531.97843,271.4272167,69.93640833
2MASX J05550364+7442526            ,G  ,0.030131,~,15.5,~,~,~,20,0,E,55:03.6,+74:42:52.64,0.28,0.252,128.5390829,252.2114384,34146.42337,8831.659495,88.76516667,74.71462222
MCG+10-25-101                      ,G  ,0.0284,~,15.5,~,~,~,10,0,E,49:42.9,+60:22:18.27,0.433,0.234,121.4081321,163.092847,49875.54637,8334.811252,267.4286792,60.37174167
UGC 10988                          ,G  ,0.028393,~,14.4,~,~,~,14,0,E,46:47.3,+59:14:44.55,0.74,0.607,121.3792342,95.43135506,85217.36576,8332.799532,266.6970833,59.24570833
2MASX J17502601+5947355            ,G  ,0.02221,~,16,~,~,~,9,0,E,50:26.1,+59:47:35.451209089,0.383,0.222,95.66053572,184.3843414,34760.30473,6547.893686,267.6087025,59.79318089
2MASX J17491527+6720125            ,G  ,0.025,~,16.5,~,~,~,5,0,E,49:15.3,+67:20:12.59,0.227,0.172,107.3137961,311.0978094,23111.78066,7355.292534,267.3136292,67.33683056
LEDA 61188                         ,G  ,0.04817,~,15.9,~,~,~,6,0,E,58:13.8,+70:39:40,0.309,0.173,201.0942474,228.5411092,58953.5713,13937.51684,269.5575,70.66111111
UGC 10853                          ,G  ,0.04228,~,15.3,~,~,~,11,0,E,22:33.2,+74:22:05.58,0.607,0.497,177.7520194,116.3413554,102365.8806,12284.5524,260.6385208,74.36821667
